timestamp,power_status,supply_temp,return_temp,delta_temp_raw,delta_temp_clamped,brine_in_temp,brine_out_temp,outdoor_temp,desired_supply_temp,heat_output_kw,cop,power_input_kw
2025-05-20 21:45:00,0.0,,,,,,,,,0.0,,0.0
2025-05-20 22:00:00,1.0,26.25,22.5,3.75,3.75,,3.5,12.0,,8.62125,4.75,1.815
2025-05-20 22:45:00,0.0,54.5,50.5,4.0,4.0,4.0,,,,0.0,,0.0
2025-05-20 23:00:00,0.0,45.285714285714285,43.6,1.6857142857142833,2.0,,2.0,13.0,,0.0,,0.0
2025-05-21 00:00:00,0.0,,,,,,,12.0,,0.0,,0.0
2025-05-21 00:30:00,0.0,,,,,,,,,0.0,,0.0
2025-05-21 01:00:00,0.0,26.0,22.0,4.0,4.0,6.0,3.5,,,0.0,,0.0
2025-05-21 01:30:00,0.0,29.0,,,,5.0,,,25.0,0.0,,0.0
2025-05-21 02:15:00,1.0,26.25,23.0,3.25,3.25,5.0,4.0,,,7.47175,4.75,1.573
2025-05-21 02:30:00,0.0,29.0,24.0,5.0,5.0,,3.0,11.0,,0.0,,0.0
2025-05-21 03:30:00,1.0,28.5,,,,5.0,3.0,,,0.0,,0.0
2025-05-21 04:00:00,0.0,,25.0,,,,2.0,,,0.0,,0.0
2025-05-21 04:30:00,0.0,24.0,24.0,0.0,2.0,,,,,0.0,,0.0
2025-05-21 05:00:00,0.0,,,,,,2.0,,,0.0,,0.0
2025-05-21 05:30:00,0.0,25.0,24.0,1.0,2.0,,,10.0,26.0,0.0,,0.0
2025-05-21 05:45:00,1.0,40.0,34.57142857142857,5.428571428571431,5.428571428571431,5.0,2.0,,,12.480285714285719,4.75,2.6274285714285726
2025-05-21 06:00:00,0.0,50.5,42.5,8.0,8.0,4.0,1.0,11.0,,0.0,,0.0
2025-05-21 07:00:00,1.0,29.0,,,,,2.0,,,0.0,,0.0
2025-05-21 08:00:00,0.0,,,,,,,,,0.0,,0.0
2025-05-21 08:30:00,0.0,29.0,,,,,2.0,10.0,27.0,0.0,,0.0
2025-05-21 09:15:00,1.0,,23.0,,,,,,,0.0,,0.0
2025-05-21 09:30:00,0.0,27.0,24.0,3.0,3.0,5.0,3.3333333333333335,,,0.0,,0.0
2025-05-21 10:15:00,0.0,24.0,24.0,0.0,2.0,,2.0,,,0.0,,0.0
2025-05-21 10:30:00,0.0,28.666666666666668,,,,5.0,2.5,10.0,27.0,0.0,,0.0
2025-05-21 11:30:00,0.0,23.0,23.0,0.0,2.0,5.0,5.0,,,0.0,,0.0
2025-05-21 12:00:00,1.0,,,,,,,12.5,24.0,0.0,,0.0
2025-05-21 12:45:00,0.0,,,,,,,,,0.0,,0.0
2025-05-21 13:00:00,1.0,28.0,,,,,3.5,,,0.0,,0.0
2025-05-21 13:45:00,0.0,,,,,,,,,0.0,,0.0
2025-05-21 14:00:00,0.0,,,,,,,,24.0,0.0,,0.0
2025-05-21 15:00:00,0.0,,,,,,,,,0.0,,0.0
2025-05-21 15:30:00,0.0,26.25,22.5,3.75,3.75,,5.0,11.0,25.0,0.0,,0.0
2025-05-21 16:15:00,0.0,27.666666666666668,,,,4.0,3.0,,25.0,0.0,,0.0
2025-05-21 16:30:00,0.0,24.0,,,,5.0,5.0,12.0,,0.0,,0.0
2025-05-21 17:15:00,1.0,26.0,,,,,3.0,12.0,,0.0,,0.0
2025-05-21 17:30:00,0.0,24.0,,,,4.0,5.0,,,0.0,,0.0
2025-05-21 18:30:00,0.0,,25.0,,,,2.0,,,0.0,,0.0
2025-05-21 19:00:00,0.0,,,,,4.0,,,,0.0,,0.0
2025-05-21 19:30:00,1.0,30.0,25.0,5.0,5.0,5.0,,,,11.495,4.75,2.42
2025-05-21 20:00:00,0.0,,,,,,,9.0,28.0,0.0,,0.0
2025-05-21 20:45:00,1.0,28.333333333333332,,,,,2.0,8.0,29.0,0.0,,0.0
2025-05-21 21:00:00,0.0,,,,,,2.0,,,0.0,,0.0
2025-05-21 22:00:00,1.0,56.5,53.0,3.5,3.5,,,,,8.0465,4.75,1.694
2025-05-21 23:00:00,1.0,31.0,26.0,5.0,5.0,,,,,11.495,4.75,2.42
2025-05-22 00:15:00,1.0,,,,,,,,,0.0,,0.0
2025-05-22 01:30:00,1.0,27.0,,,,,2.0,,,0.0,,0.0
2025-05-22 02:30:00,1.0,,,,,,,6.0,31.0,0.0,,0.0
2025-05-22 03:00:00,0.0,,,,,,,,,0.0,,0.0
2025-05-22 03:45:00,1.0,,,,,,,,,0.0,,0.0
2025-05-22 04:45:00,1.0,,,,,,,,,0.0,,0.0
2025-05-22 05:00:00,0.0,,27.0,,,,,,,0.0,,0.0
2025-05-22 06:00:00,1.0,,26.5,,,,,,,0.0,,0.0
2025-05-22 07:15:00,1.0,55.5,52.5,3.0,3.0,,,,,6.897,4.75,1.452
2025-05-22 07:30:00,0.0,44.5,33.75,10.75,10.0,,1.0,,,0.0,,0.0
2025-05-22 08:15:00,1.0,30.5,25.5,5.0,5.0,,,,,11.495,4.75,2.42
2025-05-22 09:30:00,1.0,,,,,,1.0,,,0.0,,0.0
2025-05-22 10:45:00,1.0,,,,,,,,,0.0,,0.0
2025-05-22 11:00:00,0.0,,,,,,,7.0,30.0,0.0,,0.0
2025-05-22 11:45:00,1.0,31.0,25.5,5.5,5.5,,,,,12.644499999999999,4.75,2.662
2025-05-22 12:00:00,0.0,30.5,,,,,,,,0.0,,0.0
2025-05-22 13:00:00,1.0,47.5,38.5,9.0,9.0,,,8.0,29.0,20.691,4.75,4.356
2025-05-22 14:15:00,0.0,28.0,24.5,3.5,3.5,3.0,2.0,,,0.0,,0.0
2025-05-22 14:30:00,0.0,30.0,25.0,5.0,5.0,,,9.0,28.0,0.0,,0.0
2025-05-22 15:15:00,1.0,30.0,25.5,4.5,4.5,,1.0,,,10.3455,4.75,2.178
2025-05-22 15:30:00,0.0,29.0,25.5,3.5,3.5,,3.0,,,0.0,,0.0
2025-05-22 16:30:00,1.0,26.0,25.5,0.5,2.0,3.0,3.0,,,4.598,4.75,0.968
2025-05-22 17:00:00,0.0,26.333333333333332,24.0,2.333333333333332,2.333333333333332,4.0,3.0,,,0.0,,0.0
2025-05-22 17:45:00,0.0,29.5,,,,,1.0,,,0.0,,0.0
2025-05-22 18:00:00,0.0,28.333333333333332,,,,,2.0,9.0,28.0,0.0,,0.0
2025-05-22 18:45:00,1.0,29.0,25.0,4.0,4.0,4.0,1.0,,,9.196,4.75,1.936
2025-05-22 19:00:00,0.0,26.0,,,,,2.5,9.0,,0.0,,0.0
2025-05-22 20:00:00,1.0,49.5,42.5,7.0,7.0,,,9.0,28.0,16.093,4.75,3.388
2025-05-22 20:30:00,0.0,56.5,53.0,3.5,3.5,,,,,0.0,,0.0
2025-05-22 21:15:00,1.0,29.0,25.0,4.0,4.0,,,,,9.196,4.75,1.936
2025-05-22 21:30:00,0.0,,,,,3.0,,8.0,29.0,0.0,,0.0
2025-05-22 22:15:00,1.0,29.5,,,,,,,,0.0,,0.0
2025-05-22 23:30:00,1.0,27.333333333333332,,,,,1.0,,,0.0,,0.0
2025-05-23 00:00:00,0.0,,,,,,,,,0.0,,0.0
