timestamps,soc,price,action_normalized,battery_power_kw,grid_power_kw,reward,total_cost_cumulative,household_consumption_kw,grid_cost_term,peak_penalty_term,battery_cost_term,arbitrage_bonus_term,soc_action_penalty_term,current_solar_production_kw
2024-04-10 17:45:00+02:00,0.8680971,-2.218,0.09460268169641495,-0.9460268169641495,-2.9085355669641495,-7.214257546011454,3399.347635823956,0.406,-1.612782971881621,0.0,-5.601474574129833,0.0,0.0,2.36850875
2024-04-10 18:00:00+02:00,0.859438,-2.224,0.07239021360874176,-0.7239021360874176,-2.6864108860874176,-5.77990710055063,3400.8412802766206,0.406,-1.4936444526646044,0.0,-4.2862626478860255,0.0,0.0,2.36850875
2024-04-10 18:15:00+02:00,0.86289865,-2.23,-0.0641138032078743,0.3205690160393715,0.121871126039371,6.369127874290845,3400.7733371238537,2.284,0.06794315276694933,0.0,-1.7130406794603914,8.014225400984287,0.0,2.4826978900000003
2024-04-10 18:30:00+02:00,0.8687536,-2.22125,-0.1084703803062439,0.5423519015312195,0.343654011531219,10.851439932751463,3400.5825017555753,2.284,0.19083536827843003,0.0,-2.898192973807454,13.558797538280487,0.0,2.4826978900000003
2024-04-10 18:45:00+02:00,0.87350416,-2.2125,-0.08800990134477615,0.44004950672388077,0.24135161672388028,8.783220729541679,3400.4490041425747,2.284,0.13349761300039628,0.0,-2.351514551555738,11.00123766809702,0.0,2.4826978900000003
2024-04-10 19:00:00+02:00,0.87508994,-2.20375,-0.02937912754714489,0.14689563773572445,-0.05180225226427604,2.858877575885984,3400.4775439459318,2.284,-0.028539803356849577,0.0,-0.7849735641502775,3.6723909433931112,0.0,2.4826978900000003
2024-04-10 19:15:00+02:00,0.87657475,-2.195,-0.02750793658196926,0.1375396829098463,3.7075425604098466,4.738028372221569,3398.443029965907,3.958,2.034513980024903,0.0,-0.7349776805494912,3.4384920727461576,0.0,0.3879971225
2024-04-10 19:30:00+02:00,0.87830937,-2.22675,-0.03213586285710335,0.16067931428551674,3.730682191785517,5.235176914064288,3396.3662058232676,3.958,2.0768241426396,0.0,-0.8586300857132301,4.0169828571379185,0.0,0.3879971225
2024-04-10 19:45:00+02:00,0.88171214,-2.2584999999999997,-0.06304090470075607,0.31520452350378036,3.8852074010037807,8.389424143912942,3394.172520594476,3.958,2.193685228791759,0.0,-1.6843741724733263,7.880113087594509,0.0,0.3879971225
2024-04-10 20:00:00+02:00,0.8882653,-2.29025,-0.12140665203332901,0.607033260166645,4.177036137666645,14.323611773723375,3391.780906340903,3.958,2.3916142535727585,0.0,-3.2438339840155095,15.175831504166126,0.0,0.3879971225
