time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,rollout/ep_rew_mean,train/value_loss,train/clip_range,train/loss,train/n_updates,rollout/ep_len_mean,train/std,eval/mean_reward,eval/mean_ep_length
67584,354,190,33,0.0,0.001,-2.3033594250679017,0.00030535986,0.0,-0.00012788092523502808,2079519.306333044,69854860.46666667,0.2,34712632.0,480,2880.0,2.444558620452881,,
69632,356,195,34,0.0,0.001,-2.325544508298238,0.00065639964,0.0005533854166666667,0.00018675712053664028,2051996.6027926665,38834051.86666667,0.2,19569972.0,495,2880.0,2.5113790035247803,,
70000,,,,0.0,0.001,-2.3559651970863342,0.0014827703,0.0033203125,-0.00018156619044020771,,30506538.4,0.2,15697859.0,510,,2.5963666439056396,-954075.7022628,2880.0
71680,379,189,35,,,,,,,2051996.6027926665,,,,,2880.0,,,
73728,381,193,36,0.0,0.001,-2.3860117395718894,0.00065772433,0.0011067708333333333,-0.0008198150336587181,2070374.37843352,48236264.46666667,0.2,24415766.0,525,2880.0,2.6631603240966797,,
75000,,,,0.0,0.001,-2.413191521167755,0.0009769184,0.00224609375,-0.00034799651087572177,,33176712.466666665,0.2,16082720.0,540,,2.74592661857605,-936867.9394735999,2880.0
75776,405,186,37,,,,,,,2047722.819584846,,,,,2880.0,,,
77824,407,190,38,0.0,0.001,-2.446450885136922,0.0012854709,0.00419921875,0.0007441731402650475,2045029.9501060368,23296990.866666667,0.2,11274444.0,555,2880.0,2.8458242416381836,,
79872,408,195,39,-1.1920928955078125e-07,0.001,-2.4800761659940083,0.0007838916,0.0010416666666666667,-0.0008632848543735842,2045029.9501060368,40494704.8,0.2,19337580.0,570,2880.0,2.933497428894043,,
80000,,,,1.1920928955078125e-07,0.001,-2.5069757103919983,0.0005583471,0.0007161458333333333,-0.00037202050055687625,,51203533.06666667,0.2,22056360.0,585,,3.0029797554016113,-933022.4590298,2880.0
81920,432,189,40,,,,,,,2059056.9341242856,,,,,2880.0,,,
83968,434,193,41,-1.1920928955078125e-07,0.001,-2.5322882692019144,0.0008792947,0.0017903645833333333,0.00024313747029130656,2038406.553930138,36386318.93333333,0.2,16968544.0,600,2880.0,3.0902111530303955,,
85000,,,,0.0,0.001,-2.5624467690785724,0.00089014124,0.001171875,0.0001798247724461059,,35549274.7,0.2,16582302.0,615,,3.188450813293457,-951536.4281862002,2880.0
86016,456,188,42,,,,,,,2038406.553930138,,,,,2880.0,,,
88064,458,191,43,0.00010961294174194336,0.001,-2.590235122044881,0.00047642802,0.0001953125,-0.0001606626668944955,2057063.9434665667,48585480.06666667,0.2,25217670.0,630,2880.0,3.2624058723449707,,
90000,,,,5.960464477539063e-08,0.001,-2.6123841683069866,0.0004416675,0.00042317708333333335,0.000126100069610402,,45455615.8,0.2,21468384.0,645,,3.3364648818969727,-1014686.0449579002,2880.0
90112,482,186,44,,,,,,,2070114.5622929032,,,,,2880.0,,,
92160,484,190,45,0.0,0.001,-2.6343944509824118,0.0003912081,0.0003255208333333333,-0.00045363629469648005,2085701.91071225,61383779.53333333,0.2,31616854.0,660,2880.0,3.4082884788513184,,
94208,485,193,46,5.960464477539063e-08,0.001,-2.656727663675944,0.0005494082,0.0003255208333333333,-0.00016902284502672653,2085701.91071225,43149797.6,0.2,22996660.0,675,2880.0,3.4907541275024414,,
95000,,,,-1.1920928955078125e-07,0.001,-2.682241912682851,0.0006019858,0.00042317708333333335,-0.0003716886625625193,,49830115.6,0.2,23497930.0,690,,3.5869178771972656,-948003.7537252002,2880.0
96256,509,189,47,,,,,,,2090133.8229938785,,,,,2880.0,,,
98304,511,192,48,0.0,0.001,-2.711246828238169,0.0009869317,0.00224609375,-0.0006515769307346394,2077979.8284867054,34507231.4,0.2,17699294.0,705,2880.0,3.6987197399139404,,
100000,,,,0.0,0.001,-2.7429951866467794,0.0009848088,0.0018880208333333333,2.4309504078701137e-05,,37380658.666666664,0.2,18368460.0,720,,3.8226356506347656,-953501.0791,2880.0
100352,533,187,49,,,,,,,2077979.8284867054,,,,,2880.0,,,
